prov,poblacionjoven,sabeleer,noTieneRel,agua,alumbrado,etniticidad,gas,sis,acsedu,electores,votoscas,porcentaje
CANETE,0.196222704603501,0.861536666763884,0.0296956955453775,0.803984456917289,0.838199320138514,0.191329950980918,0.891227335914261,0.427006037172986,0.334540296719174,180820,62459,0.4531
CANGALLO,0.156522024767598,0.739283250665178,0.0134802882577363,0.920854412591343,0.697090590639292,0.920178041543027,0.364046453594395,0.876359097329435,0.333586416344561,25505,14901,0.8909
CANTA,0.161846207135435,0.863179771388985,0.03003003003003,0.814529090324655,0.858746736292428,0.143929643929644,0.657365510306687,0.595947350190509,0.272077452044879,11546,4398,0.5204
CARABAYA,0.205654510242492,0.794959220970514,0.0307183531991653,0.796490014696983,0.540335429769392,0.943939447529445,0.349744928223989,0.658383568369657,0.328796397223338,45084,29851,0.8964
CARAVELI,0.191723504087457,0.859647849852465,0.0425982800982801,0.543297899922219,0.874407181571816,0.35764742014742,0.85904125224197,0.420403424756929,0.265982636148382,26213,8422,0.4717
CARHUAZ,0.19053204674221,0.725832152974504,0.00962104849793835,0.906274612759254,0.79581635007306,0.726150739109702,0.267862436999704,0.799641466005666,0.306021855382469,38672,18781,0.6862
CARLOS FERMIN FITZCARRALD,0.131060563300785,0.693401817463453,0.00857952849895554,0.77799823633157,0.65497301464919,0.688898836168308,0.161831198191409,0.852345205170176,0.355534430515121,14010,6462,0.792
CASMA,0.187452195571594,0.81545039126086,0.0461675126903553,0.802480311396759,0.799189616097796,0.259010152284264,0.657589080648337,0.54556865206221,0.305292594510616,37445,11328,0.4215
CASTILLA,0.139522435992744,0.83594516637426,0.0225960994379267,0.893033398370251,0.877848226669309,0.41487796597382,0.735574696675002,0.432632549287817,0.288985109961996,25959,12800,0.7587
CASTROVIRREYNA,0.136818766986125,0.805821770848234,0.0104542510870571,0.923410852713178,0.64001575423395,0.596632435933019,0.307530178195057,0.787941639250465,0.331951770911831,15346,6194,0.6765
CAYLLOMA,0.192195549204227,0.833412084682671,0.0395748763746402,0.908483498683944,0.753734622144112,0.598656727433759,0.792903028449067,0.427135794216962,0.307716623506097,74641,46879,0.8611
CELENDIN,0.163117697637955,0.755222295280967,0.0421505806968362,0.864303827327947,0.739205901497071,0.0871879588839941,0.263578542137417,0.796671893176875,0.348122866894198,67577,31762,0.807
CHACHAPOYAS,0.199347818253882,0.842845818470075,0.0429230143302744,0.920481927710843,0.874919637116937,0.115501107544867,0.693812349220838,0.59200807119951,0.353152607782675,40752,15671,0.5994
CHANCHAMAYO,0.192997511370463,0.826535259985874,0.0939558077551371,0.912552694840261,0.836243861540304,0.385667612415098,0.609914568345324,0.540890757744787,0.323017610396129,125327,43805,0.5341
CHEPEN,0.181182891683032,0.844334208982632,0.0860327300175053,0.918328155888167,0.924064716517547,0.0954277546694076,0.780877200762783,0.507204978448826,0.302782126942069,66588,20163,0.4352
CHICLAYO,0.199777409572639,0.867813799355988,0.0374741139439035,0.938153422656667,0.956515005240089,0.10811203063723,0.905716656036752,0.397155094257042,0.326981929180008,669481,191094,0.4032
CHINCHA,0.19240379810095,0.860905830270705,0.0250446604644688,0.563449389732791,0.917719746560717,0.150099761037515,0.760649855148802,0.255690738701446,0.338396513629775,169636,60889,0.4678
CHINCHEROS,0.148739142926603,0.7398059539859,0.0139526720683301,0.873445323857212,0.747847387173397,0.902916313218475,0.228817858954845,0.838221318540456,0.354075044446524,35242,19791,0.834
CHOTA,0.153394785430538,0.74410423543893,0.0313832891842141,0.733300557194363,0.877694305974865,0.0774031338391775,0.312161463601016,0.776240698259945,0.32187015582183,121394,66988,0.8592
CHUCUITO,0.183479022943305,0.827857800948293,0.0366719834226276,0.836777868185517,0.644047519683944,0.960465147983041,0.381939908556499,0.602761735691333,0.259170216490634,60004,42898,0.9369
CHUMBIVILCAS,0.149119108567987,0.744631832555338,0.0279859097366833,0.754125968339508,0.614624697336562,0.938929217834692,0.316296783900696,0.815193494955579,0.352571275472412,56496,37205,0.9646
CHUPACA,0.191401826828716,0.843002189174908,0.0226000758869285,0.828082191780822,0.833426808749299,0.429116865869854,0.662109636777912,0.454536876273873,0.332930070207449,48231,23896,0.6811
CHURCAMPA,0.154895814125023,0.726166328600406,0.00535944551901999,0.868097356712902,0.765106910443136,0.865369116698904,0.214006220527742,0.844735386317536,0.359618689406958,27226,13783,0.8421
CONCEPCION,0.180820636433955,0.822543217427281,0.0192568733463706,0.88992828188338,0.836981378634433,0.292258138732313,0.477384793328058,0.559568994981202,0.332619611558503,47839,18344,0.5681
CONDESUYOS,0.162427100136493,0.835835711626753,0.0235823857131955,0.883769633507854,0.684643886372993,0.496298557582233,0.616161616161616,0.458989949125202,0.244723553023437,11940,5918,0.82
CONDORCANQUI,0.174499646809513,0.706239698610784,0.20979020979021,0.843563109852062,0.184438040345821,0.836572267511494,0.155670416539982,0.795902990346127,0.421918731211776,38273,14024,0.9065
