prov,Ag,AgN,Luz,LuzN,Ln,LnN,gas,sis,acsedu,poblacion,sabe leer,no sabe,no tiene rel,si tiene rel,electores,votoscas
CONDESUYOS,2532,333,3326,1532,6503,6600,3111,7398,11666,2618,13472,1974,309,12794,11940,5918
CONDORCANQUI,2680,497,1792,7924,21653,4230,1536,33802,22307,7411,29994,8594,5430,20453,38273,14024
CONTRALMIRANTE VILLAR,573,3903,4884,739,2260,13876,4756,12402,13434,3939,17797,2084,553,15583,15341,3159
CONTUMAZA,4947,1543,6191,2548,2490,19225,3081,20580,18839,4043,22855,3517,2283,19432,21730,8516
CORONEL PORTILLO,55372,3495,74424,15534,32690,248042,73151,204158,231235,75373,319347,40959,20172,260560,299131,89402
CORONGO,1504,118,1816,209,1447,4483,510,5256,5110,1068,6005,1175,64,5866,5688,2174
COTABAMBAS,8756,2896,10011,4500,34829,3942,5051,37343,31661,9420,36999,10926,745,38026,36070,20212
CUSCO,87735,13808,103242,3389,231123,129613,115560,143128,265546,103707,390423,35699,17712,343024,356439,188294
CUTERVO,20668,4939,26411,9330,6467,86406,11372,104181,76398,19017,91147,23863,2058,90815,98205,42346
DANIEL ALCIDES CARRION,5060,1466,7023,3253,25486,10808,3112,32249,30474,11252,36298,5720,297,35997,24010,12965
DATEM DEL MARAÑON,1240,180,4248,5823,15319,15021,2255,39995,26101,8501,33219,10991,1361,28979,41743,11948
DOS DE MAYO,5944,866,6157,3364,15267,9816,2246,26873,19612,5349,25580,5866,307,24776,28260,13494
EL COLLAO,7353,962,18355,7287,50456,3270,13694,39235,45113,11431,51167,10508,1985,51741,53327,39090
EL DORADO,5898,1379,7140,2031,6566,19759,3704,31172,22751,6208,27995,6457,3469,22856,28470,11569
ESPINAR,10413,1719,10983,6926,39968,4745,10593,32449,36269,10237,46527,8162,1957,42756,45665,31461
FERREÑAFE,16565,1639,19122,5185,21208,51120,16413,65174,58554,16554,76321,15386,1866,70462,78604,26528
GENERAL SANCHEZ CERRO,2074,399,3565,2653,7791,4721,1981,8445,10745,1991,12651,1669,184,12328,13091,7860
GRAN CHIMU,2450,1490,6568,1209,2595,17957,3368,19414,18108,4393,21527,3963,2515,18037,21851,4215
GRAU,4978,442,5548,1461,15795,787,2088,17853,13311,3137,16009,4283,181,16401,18250,9703
HUACAYBAMBA,2749,569,3164,966,6141,6202,478,13976,9397,2512,12137,3480,99,12244,12794,5666
HUALGAYOC,14244,3947,22189,2864,11279,50513,5871,57657,52335,13442,55494,19005,2858,58934,71739,41949
