Dep,Prov,gas,sis,acsedu
,Talara,33.251,51.551,43.046
,Sechura,14.81,41.264,27.306
Puno,Puno,48.611,94.906,73.646
,Azangaro,15.275,80.683,34.928
,Carabaya,8.844,48.274,22.925
,Chucuito,14.034,53.647,22.207
,El Collao,13.694,39.235,16.562
,Huancane,11.505,39.234,14.628
,Lampa,7.401,25.906,11.564
,Melgar,12.164,45.405,22.541
,Moho,2.351,14.325,4.395
,San Antonio de Putina,6.884,18.395,8.891
,San Roman,78.984,95.169,107.651
,Sandia,7.432,35.268,13.119
,Yunguyo,7.66,19.377,8.629
San.Martin,Moyobamba,22.112,77.465,39.588
,Bellavista,7.404,42.126,17.175
,El Dorado,3.704,31.172,11.701
,Huallaga,4.622,21.124,8.13
,Lamas,10.975,66.47,25.081
,Mariscal Caceres,10.953,44.044,20.001
,Picota,5.977,30.344,12.289
,Rioja,21.761,84.997,39.757
,San Martin,42.26,98.822,61.907
,Tocache,12.041,41.98,20.217
Tacna,Tacna,85.374,94.275,96.977
,Candarave,708,3.629,1.297
,Jorge Basadre,1.751,2.315,2.752
,Tarata,633,3.9,1.346
Tumbes,Tumbes,38.232,87.665,51.537
,Contralmirante Villar,4.756,12.402,6.447
,Zarumilla,12.107,32.122,15.859
Ucayali,Coronel Portillo,73.151,204.158,129.071
,Atalaya,3.814,34.792,17.266
,Padre Abad,10.056,38.039,18.736
,Purus,116,2.164,1.106
